name,suburb,category,lng,lat,value,vouchers
Xi'an Famous Noodles,Belconnen,food & drinks,149.1368297,-35.25022722,2090,95
Yat Bun Tong Dumpling House Belconnen,Belconnen,food & drinks,149.0632101,-35.23766884,3670,114
Ziggys Fresh Belconnen,Belconnen,retail,149.0651268,-35.24575069,4120,185
CSIRO Discovery Cafe,Black Mountain,food & drinks,149.115243,-35.2732675,240,11
Jindii EcoSpa,Black Mountain,retail,149.108918,-35.278878,4550,93
Dilkara Australia,Bonner,personal care,149.1372231,-35.16408129,350,7
Axis Hairdressing,Braddon,personal care,149.1332414,-35.2726992,310,7
Blissiimo,Braddon,retail,149.1332839,-35.2719323,830,20
Bamiyan,Braddon,food & drinks,149.1328891,-35.2746759,2480,63
Beyond Pharmacy,Braddon,retail,149.132945,-35.2736557,1180,35
Blackfire Restaurant,Braddon,food & drinks,149.1317587,-35.273016,1290,27
Braddon Licensed Post Office & Newsagency,Braddon,retail,149.1330153,-35.2736019,700,14
Braddon Supermarket,Braddon,retail,149.1328023,-35.2640213,40,2
Casa Espresso,Braddon,food & drinks,149.1321567,-35.27470891,30,2
Charcoal Rooster,Braddon,food & drinks,149.1328023,-35.2640213,100,2
Ciao Cafe & Cakes Braddon,Braddon,food & drinks,149.1308625,-35.2737953,520,26
Debacle,Braddon,food & drinks,149.1332414,-35.2726992,290,11
Deco Hotel,Braddon,food & drinks,149.1324313,-35.2632119,410,12
EightyTwenty Food,Braddon,food & drinks,149.1329893,-35.2735623,710,38
Elemental Cafe,Braddon,food & drinks,149.1332839,-35.2719323,330,15
Flourish Yoga,Braddon,personal care,149.131661,-35.274559,450,9
Fricken,Braddon,food & drinks,149.1328465,-35.2745136,1320,58
Frugii Dessert Laboratory,Braddon,food & drinks,149.1326108,-35.2719619,1660,116
Gongcha Braddon,Braddon,food & drinks,149.1359974,-35.2787607,2300,76
KIN Gallery,Braddon,retail,149.1326108,-35.2719619,1220,25
Lonsdale St Cyclery,Braddon,retail,149.1323206,-35.2750152,2340,55
Milky Lonsdale Trading,Braddon,food & drinks,149.1324762,-35.2727395,670,23
Naked Foods,Braddon,food & drinks,149.1332323,-35.2717319,850,38
